"subTR","meanTR","TsubTR","TmeanTR","ftsvdTR","TftsvdTR","Iter","Sig2E1","Sig2E2","SeedNumber","Tau","n","Grid","nFeat"
1.00172468670013,3.7652792449664,0.0530012574908051,3.62900391694593,4.90281081649651,4.7988547481765,17,1,NA,722,1,100,3,500
1.00132821005096,4.20411207349629,0.0536309406064068,4.08376270551786,4.8335182433891,4.7298243854629,18,1,NA,723,1,100,3,500
1.04948351240793,4.32275285149779,0.319812325286434,4.20437622800099,4.83841979209896,4.73390130148073,19,1,NA,724,1,100,3,500
1.06090549182602,4.05051932926696,0.357059600526682,3.92543802978898,5.72023347720232,5.6324931406454,20,1,NA,725,1,100,3,500
1.00108247988494,4.21374716106775,0.0501533970151393,4.09346705470144,4.89090772757732,4.78772593665858,21,1,NA,726,1,100,3,500
1.01077229571752,3.83091367562983,0.146632404208667,3.69794640413926,4.45844687032066,4.34510705127082,22,1,NA,727,1,100,3,500
1.00147739001691,3.87931129068373,0.0541516790340496,3.75006421321392,4.8212067147399,4.71787231612675,23,1,NA,728,1,100,3,500
1.01131408403835,3.917203750399,0.148831926184058,3.78735845169582,4.83676648051653,4.73221938402823,24,1,NA,729,1,100,3,500
1.00166296069838,3.91733718049288,0.0482030896742833,3.78749832946757,4.96276746350332,4.86113083688282,25,1,NA,730,1,100,3,500
1.00105123989701,3.74774440176024,0.0560759086044396,3.61248529564422,5.15534283985212,5.05761038473336,26,1,NA,731,1,100,3,500
1.0025304022925,4.28510428174357,0.0633042193375143,4.16743333716848,5.23578194358627,5.13861432938017,27,1,NA,732,1,100,3,500
1.0019031994722,4.14019385820242,0.057564071190525,4.0181069237576,5.15030285222146,5.05196000660152,28,1,NA,733,1,100,3,500
1.00202760002594,4.0278457483568,0.0616089994755612,3.90171576949722,4.84956684968482,4.74511022585991,29,1,NA,734,1,100,3,500
1.00301558560868,3.86718544451952,0.0772051235576925,3.73570907041454,5.00406723814343,4.90201239032801,30,1,NA,735,1,100,3,500
1.00094678211074,4.06241451666433,0.0548696978353544,3.93780349861508,4.93552856281217,4.83245861259303,31,1,NA,736,1,100,3,500
1.0021812348231,3.71860642609237,0.0551571095814759,3.58071357334998,4.67518283596439,4.56694040740865,32,1,NA,737,1,100,3,500
1.0009657817226,3.69703363700204,0.0514761925911204,3.55902377250282,4.59608280515638,4.48579317614813,33,1,NA,738,1,100,3,500
1.00076332527742,3.77602125148545,0.0557633440744492,3.64035781671655,5.0711996873383,4.97100643398781,34,1,NA,739,1,100,3,500
1.01531214934875,3.90873457676059,0.176805201099662,3.77871567791124,4.97661502011314,4.87527236918493,35,1,NA,740,1,100,3,500
1.07386312278341,4.14155127788188,0.392792385367254,4.0191278517949,5.10004045670795,5.0009390429642,36,1,NA,741,1,100,3,500
1.00080774339024,4.19458404773419,0.0543821561833475,4.07310515029671,4.72076573610862,4.61468163117902,37,1,NA,742,1,100,3,500
1.01944802861854,3.596738910466,0.201754907022525,3.454594161128,4.46437607732437,4.35099133502568,38,1,NA,743,1,100,3,500
1.02272667509462,4.4695311269036,0.214013544454554,4.35631340841769,4.92724092866486,4.82519271025958,39,1,NA,744,1,100,3,500
1.05879999007956,4.6792347224127,0.346794184549803,4.57134565195057,5.31168923218136,5.2160835034666,40,1,NA,745,1,100,3,500
1.00156781577767,3.92639085998296,0.0508322374194176,3.79701429664673,4.71765065561835,4.61112842470162,41,1,NA,746,1,100,3,500
1.01081127052666,3.58529030410981,0.147847932462467,3.44341224357353,5.33307751434688,5.23922231811875,42,1,NA,747,1,100,3,500
1.03912983563323,3.76522815319795,0.282452746122151,3.63028321366141,5.29413469244632,5.19779629985161,43,1,NA,748,1,100,3,500
1.00058964636866,3.68512549278075,0.0524544236673072,3.54619474255921,5.01437704355208,4.91370218371553,44,1,NA,749,1,100,3,500
1.00188810174332,4.31333716114531,0.0565176541793289,4.19684719759621,5.09383601072061,4.99431540784116,45,1,NA,750,1,100,3,500
1.00211666061649,3.82362174526603,0.0523600831865824,3.69005486621912,4.56392788307904,4.45288784256902,46,1,NA,751,1,100,3,500
1.05759475990331,4.32266653133577,0.344154405216605,4.20559884629399,4.7368334139384,4.63045379414221,47,1,NA,752,1,100,3,500
